CODGEO,LIBGEO,REG,DEP,P13_POP,P08_POP,SUPERF,NAIS0813,DECE0813,P13_MEN,NAISD15,DECESD15,P13_LOG,P13_RP,P13_RSECOCC,P13_LOGVAC,P13_RP_PROP,NBMENFISC13,PIMP13,MED13,TP6013,P13_EMPLT,P13_EMPLT_SAL,P08_EMPLT,P13_POP1564,P13_CHOM1564,P13_ACT1564,ETTOT14,ETAZ14,ETBE14,ETFZ14,ETGU14,ETGZ14,ETOQ14,ETTEF114,ETTEFP1014
13201,Marseille_1er_Arrondissement,93,13,38733,40606,2,3413,1427,20109,660,260,23261,20109,834,2318,5475,16050,41,13838,42,20377,17326,21048,27057,4889,18307,9075,3,352,518,7359,2184,843,2564,349
13202,Marseille_2e__Arrondissement,93,13,23995,25227,5,2235,975,11715,417,157,14825,11715,437,2673,2563,11027,40,13612,42,18203,16619,16837,15919,3181,11015,4083,0,147,277,3241,842,418,1099,340
13203,Marseille_3e__Arrondissement,93,13,45337,45515,3,5231,1520,19150,1109,299,23047,19150,562,3334,4457,17989,27,11761,53,14207,12825,15417,28936,5469,16954,3183,2,125,397,2207,743,452,727,178
13204,Marseille_4e__Arrondissement,93,13,47982,47243,3,3616,2332,24559,720,500,27518,24559,500,2459,10707,23066,54,18334,20,15154,13242,17456,30133,3736,22027,4377,2,171,473,2891,744,840,850,125
13205,Marseille_5e__Arrondissement,93,13,47000,44918,2,3121,1856,26056,628,383,28644,26056,831,1757,9586,21213,54,18310,22,21350,18870,20020,32559,3682,22532,4280,4,206,445,2755,572,870,720,128
13206,Marseille_6e__Arrondissement,93,13,42252,42728,2,3019,1727,23005,599,354,26503,23005,808,2690,9677,19896,59,20150,20,22976,19125,22922,28589,3391,21039,9937,8,323,513,7702,1547,1391,2246,387
13207,Marseille_7e__Arrondissement,93,13,35262,35910,6,2110,1735,19274,445,319,21982,19274,1120,1589,10119,17770,65,22951,13,14502,11833,14830,21828,1868,16462,4341,9,173,267,3224,611,668,800,131
13208,Marseille_8e__Arrondissement,93,13,79010,78916,19,4273,4015,39289,906,806,44208,39289,2365,2555,20737,36792,69,24142,11,37485,31713,37313,48206,3825,34368,10613,16,308,655,7279,1431,2355,2415,497
13209,Marseille_9e__Arrondissement,93,13,74234,76819,63,4391,3378,32354,867,710,35426,32354,971,2101,18544,30920,66,21547,14,30039,26703,30720,46819,3945,31512,5561,13,183,462,3566,826,1337,1000,291
13210,Marseille_10e__Arrondissement,93,13,55315,51545,11,3574,2194,24644,858,506,27104,24644,225,2235,11545,23224,53,18308,20,21251,19349,21535,35461,3922,25155,3982,4,142,488,2487,711,861,773,208
13211,Marseille_11e__Arrondissement,93,13,56544,57183,34,3459,2041,22139,712,456,23465,22139,153,1173,11735,22105,55,19038,19,22660,20132,22711,36485,3671,24618,4846,24,213,667,3150,970,792,1118,342
13212,Marseille_12e__Arrondissement,93,13,60437,58775,14,3370,3486,26252,720,771,28082,26252,276,1555,15687,26227,66,22080,11,21965,18715,21474,36833,2968,27115,5019,11,190,500,3128,800,1190,995,201
13213,Marseille_13e__Arrondissement,93,13,90555,89014,28,6591,3919,36632,1312,844,38795,36632,537,1626,16530,34079,49,17134,27,30118,26877,25887,57479,7134,37781,5325,18,219,700,3253,866,1135,1017,267
13214,Marseille_14e__Arrondissement,93,13,61186,61168,16,5307,2210,23755,1190,442,25737,23755,643,1339,9009,22067,37,13982,40,19521,17665,18332,37966,6911,23611,4428,9,201,647,2671,882,900,1122,337
13215,Marseille_15e__Arrondissement,93,13,80668,78396,17,6815,2585,29415,1441,526,31735,29415,70,2251,9755,26470,32,13243,43,23946,21740,24597,49726,7767,26662,5650,16,282,952,3546,1230,854,1372,354
13216,Marseille_16e__Arrondissement,93,13,16883,17457,16,1786,1030,7026,322,191,7547,7026,107,413,3332,6812,47,16877,26,8322,7420,8387,10485,1506,7018,3340,20,134,452,2331,589,403,852,285
69381,Lyon_1er_Arrondissement,84,69,29313,28110,2,2212,788,15552,395,174,18028,15552,592,1883,4763,14037,63,21795,16,16174,13446,15507,21783,2370,16701,5954,6,256,145,4790,706,757,1251,222
69382,Lyon_2e__Arrondissement,84,69,30804,29726,3,1797,863,16559,456,154,18672,16559,588,1524,4243,13135,70,24999,11,32071,28106,30199,22133,2030,15237,9019,9,258,296,7464,1677,992,2715,585
69383,Lyon_3e__Arrondissement,84,69,98956,92366,6,7905,2860,50271,1506,591,58165,50271,2152,5741,17187,44816,68,23139,13,80093,73273,74107,71910,6774,54053,14755,18,442,782,11499,1845,2014,3223,1036
69384,Lyon_4e__Arrondissement,84,69,36336,35007,3,2460,1516,18090,475,277,20098,18090,542,1466,7801,16882,70,24111,10,15644,13158,15066,24246,2182,18935,4566,9,236,193,3396,609,732,916,133
69385,Lyon_5e__Arrondissement,84,69,46630,46754,6,3010,2175,22164,602,467,24255,22164,527,1564,10211,19980,67,22736,12,15776,13413,16766,31262,2807,21838,4529,3,188,238,3331,507,769,900,171
69386,Lyon_6e__Arrondissement,84,69,50364,48988,4,3062,1738,26156,650,381,30376,26156,1293,2928,10380,23943,75,28489,9,34458,29352,32431,34048,2876,24918,11291,16,286,518,9022,1371,1449,2764,549
69387,Lyon_7e__Arrondissement,84,69,77855,69766,10,5986,2049,40903,1421,444,46466,40903,1634,3929,10712,33576,64,20857,16,50944,46377,48004,58360,5845,41998,9771,7,370,597,7441,1251,1356,2140,635
69388,Lyon_8e__Arrondissement,84,69,81531,76343,7,6611,3075,39868,1463,650,44073,39868,455,3750,11867,35071,57,18710,19,32850,29883,30460,55504,6138,39007,5917,1,187,504,4047,956,1178,1237,330
69389,Lyon_9e__Arrondissement,84,69,48926,47886,7,4392,1857,22869,968,377,26509,22869,613,3028,7881,21430,57,18824,20,29396,26449,27481,32913,3730,24300,6351,5,219,486,4729,902,912,1423,462
75101,Paris_1er_Arrondissement,11,75,17022,17440,2,1054,543,9900,189,100,13534,9900,2327,1307,3079,8323,76,31805,11,57610,51407,58389,12236,950,9819,17656,17,444,478,15915,2813,802,4591,1095
75102,Paris_2e__Arrondissement,11,75,21741,21793,1,1650,460,12659,266,88,17214,12659,2352,2203,4189,11604,74,28664,16,59141,52511,59833,16899,1561,14059,20460,31,1025,452,18131,2755,821,4725,1324
75103,Paris_3e__Arrondissement,11,75,35666,34824,1,2300,882,20569,395,187,25928,20569,2999,2359,7206,18053,75,30322,13,32354,26288,31960,26956,2407,21854,14144,8,645,361,12063,2574,1067,3528,596
75104,Paris_4e__Arrondissement,11,75,27335,27977,2,1543,959,15827,312,171,22544,15827,4610,2106,5270,14320,75,30299,12,41805,37004,42511,19683,1622,15475,10462,5,271,239,8963,1742,984,2648,540
75105,Paris_5e__Arrondissement,11,75,60273,62143,3,2711,1824,33494,485,360,39861,33494,4230,2137,10983,26332,77,32336,10,55310,48191,55091,42727,3074,30585,14306,9,302,308,11886,1629,1801,3374,663
75106,Paris_6e__Arrondissement,11,75,43479,44322,2,1889,1545,23685,318,375,31650,23685,6102,1863,9546,18864,79,39079,9,45254,38458,46344,29539,1874,20274,16007,16,332,245,13940,2603,1474,4707,811
75107,Paris_7e__Arrondissement,11,75,56325,57082,4,2814,2124,29949,470,391,39109,29949,7088,2071,11453,24827,80,41676,8,72336,63498,71792,37691,2614,27615,18446,54,352,422,15923,2000,1695,5078,762
75108,Paris_8e__Arrondissement,11,75,39175,38702,4,2610,1169,18984,471,240,26778,18984,5181,2613,7055,17947,79,40141,10,164324,144550,164276,27445,1775,20443,66814,77,1381,2413,60504,5737,2439,13879,3461
75109,Paris_9e__Arrondissement,11,75,59427,59157,2,4623,1554,31827,866,318,39889,31827,4235,3827,12308,30113,76,32167,12,112985,99861,109132,43408,3609,35599,30554,55,1219,1076,26192,3346,2012,7975,2040
75110,Paris_10e__Arrondissement,11,75,92494,94321,3,7844,2432,47888,1376,460,58303,47888,3650,6764,17556,45430,70,24243,19,84738,73520,82831,68178,6918,55586,27500,13,1096,1818,22447,3642,2126,6532,1232
75111,Paris_11e__Arrondissement,11,75,153461,152672,4,10469,4231,86794,1941,842,99511,86794,4786,7931,29976,76542,72,25620,16,85957,70467,83796,114433,10841,92597,35559,10,1302,1896,28921,4368,3430,7583,1249
75112,Paris_12e__Arrondissement,11,75,144719,142673,16,9664,5069,75529,1976,1017,84644,75529,3888,5227,23765,69454,75,26478,15,122944,110577,120697,101907,8310,81083,25454,19,747,1633,20023,3104,3032,5720,1255
75113,Paris_13e__Arrondissement,11,75,183713,179500,7,10952,5909,89566,2011,1234,101074,89566,4649,6859,24800,81996,70,22994,17,126693,115275,120666,127586,11755,95837,22919,42,554,916,17948,2500,3459,4472,1210
75114,Paris_14e__Arrondissement,11,75,140799,136464,6,8203,4808,71887,1655,1012,82754,71887,5347,5520,21764,63896,75,26821,13,87764,76873,87623,99066,8299,73190,22653,17,525,951,18104,2261,3056,4847,888
75115,Paris_15e__Arrondissement,11,75,237120,234091,8,15608,7680,126255,3015,1516,148603,126255,10790,11557,40759,113254,78,30203,11,166207,146930,164422,164863,12101,128093,37069,49,827,1348,30320,4160,4525,8757,1650
75116,Paris_16e__Arrondissement,11,75,166552,165074,16,9048,6419,83727,1627,1268,102975,83727,10725,8522,37537,74024,77,38679,11,117759,97436,120500,105806,7721,75920,45286,94,741,1360,39090,4454,4001,10494,1559
75117,Paris_17e__Arrondissement,11,75,170077,167070,6,12365,5054,89112,2335,975,104595,89112,6315,9168,31346,80431,75,29396,14,110427,92710,111040,119652,10864,94135,42455,30,895,1920,35987,4424,3623,9964,1576
75118,Paris_18e__Arrondissement,11,75,199519,196000,6,16852,5919,105942,3008,1107,121084,105942,5544,9598,35357,92612,65,20247,24,92084,76991,91282,144721,15671,114608,32395,15,958,1981,26630,4402,2811,6431,932
75119,Paris_19e__Arrondissement,11,75,185953,184909,7,15648,5251,84029,2847,1104,93729,84029,3196,6504,25551,80398,62,18609,25,89872,79137,88366,128316,15847,96705,23341,11,661,1734,18254,3007,2681,4023,916
75120,Paris_20e__ Arrondissement,11,75,194771,195083,6,14671,6247,96186,2703,1217,105106,96186,2499,6421,24884,90369,66,20077,22,79397,68272,77594,136636,16120,106591,28472,15,904,2977,21522,3483,3054,4803,768
